epoch,train_loss,train_acc,train_f1,train_pearson,val_loss,val_acc,val_f1,val_pearson
1,0.17919117694391923,0.7970588235294118,0.8099173553719008,0.7428939483297511,0.15946072985728582,0.8,0.8333333333333334,0.8839530629991075
2,0.08949333168566227,0.9088235294117647,0.9146005509641874,0.9088935194562235,0.0684600488593181,0.9416666666666667,0.943089430894309,0.9440031981130932
3,0.0498324915766716,0.9044117647058824,0.9093444909344491,0.9226020207751396,0.067331302848955,0.9333333333333333,0.9354838709677419,0.9620974864017167
4,0.039406191765823786,0.9264705882352942,0.9303621169916435,0.9468235867806634,0.0566959364960591,0.95,0.9491525423728814,0.9617280234499008
5,0.029556166818913293,0.9279411764705883,0.9324137931034483,0.9560485526530842,0.05147319116319219,0.9416666666666667,0.9411764705882353,0.9642988855814507
